Name,lat,lng,weight
永華市政中心(府前路),22.99308,120.18443,1
大灣,23.20841,120.18616999999999,1
崇明路口,22.97786,120.22084,1
後港,23.18541,120.14732,1
善行寺,23.17129,120.16596000000001,1
渡頭里,23.16947,120.32681000000001,1
河樂廣場(金華路),22.99384,120.19351,1
過坑子,22.96602,120.32618000000001,1
石門國小,22.999470000000002,120.16573999999999,1
至善橋,22.964470000000002,120.19533,1
大坑國小,23.00694,120.38188000000001,1
永華市政中心(府前路),22.99307,120.18441999999999,1
南安宮,23.102870000000003,120.22776,1
佳里國小,23.16301,120.17153,1
學東廟,23.07868,120.14365,1
社頭,22.97585,120.16161000000001,1
東勢,23.161820000000002,120.24721000000001,1
望月橋,22.99821,120.17493,1
養護之家,23.04632,120.31706000000001,1
石門里,23.00061,120.16677,1
台南醫院,22.995379999999997,120.20931000000002,1
樹人路口,23.13276,120.30136999999999,1
億載金城,22.98912,120.16031000000001,1
古運河,23.00035,120.15413999999998,1
港仔尾,23.205189999999998,120.20808000000001,1
西門路一段,22.98411,120.19769,1
大學路口,22.99557,120.22185,1
赤峰崎,23.02084,120.35481000000001,1
億載國小,22.98961,120.16293,1
接天寺,23.06716,120.34608999999999,1
圓頂,23.13314,120.28436,1
南工社區,23.01466,120.23468000000001,1
善化區公所,23.132179999999998,120.29741999999999,1
國聖大橋,23.08013,120.13856000000001,1
油車,23.09948,120.22443,1
永華市政中心(府前路),22.99308,120.18443,1
大東夜市,22.98375,120.21763999999999,1
大社南,23.087670000000003,120.31853999999998,1
仁德國中,22.956329999999998,120.24698000000001,1
關廟轉運站,22.96345,120.33731,1
臺南火車站(南站),22.99706,120.21118999999999,1
東興公園,22.99855,120.22543999999999,1
三新紡織,23.045679999999997,120.26145,1
永康(永大路),23.02515,120.26083999999999,1
臺南轉運站,23.00187,120.20928,1
新化體育公園,23.02985,120.30831,1
小埤頭,23.18979,120.23241000000002,1
台南醫院,22.995279999999998,120.20936999999999,1
清虛宮,23.05288,120.21351999999999,1
四份子,22.99863,120.23221000000001,1
億載金城,22.98893,120.16031000000001,1
小西門(大億麗緻),22.98854,120.19769,1
南海尾,23.04245,120.18712,1
永安路仁愛街口,23.051289999999998,120.24245,1
海尾,23.04661,120.18431000000001,1
歸仁,22.96923,120.29995,1
北勢里,22.96181,120.33075,1
新市國小,23.07837,120.29531000000001,1
窩仔底,22.92863,120.27723,1
新化站,23.03594,120.30945,1
布袋,22.919620000000002,120.34795,1
中山、民權路口,22.99375,120.20709,1
和順,23.06411,120.21866000000001,1
歸南,22.95841,120.28466999999999,1
頂歸南,22.95665,120.28271000000001,1
仰龍橋,22.96726,120.34476000000001,1
四草生態文化園區(大眾廟),23.01924,120.13473,1
什美,23.13908,120.28843,1
港墘,23.07481,120.30453,1
小西門(大億麗緻),22.988120000000002,120.19741,1
新樓醫院,23.18093,120.23263999999999,1
圓環,23.18466,120.24198,1
第一分局,22.96595,120.23293000000001,1
竹子腳(大灣),23.02904,120.29415,1
電姬戲院,23.18366,120.24481999999999,1
西埔里,22.99695,120.28415,1
樹人路口,23.13264,120.30008000000001,1
台電配電中心,23.02479,120.21941000000001,1
大崎,23.03291,120.22826,1
嘉綠寶社區,23.06972,120.21763,1
鄭子寮,23.01698,120.20958,1
新和庄,23.02388,120.32871999999999,1
姓李仔,22.96777,120.28558000000001,1
文南里,22.98349,120.18635,1
圓環,23.184620000000002,120.24193000000001,1
紅樹林社區,23.03327,120.14551999999999,1
北保仔,22.95356,120.25201000000001,1
慈濟台南分會,22.970679999999998,120.26026999999999,1
安平漁人碼頭,22.99694,120.16372,1
姓鄭仔,23.01074,120.27016,1
草埤,22.91212,120.35421000000001,1
奇美醫院,23.021060000000002,120.22155,1
虛擬站[前峰x東豐路],23.00127,120.21458999999999,1
千鳥橋,23.07016,120.35583999999999,1
溪尾,23.15162,120.28732,1
中華東崇德路口,22.97515,120.22405,1
永華市政中心(府前路),22.99307,120.18441999999999,1
歸仁國中,22.970010000000002,120.29503999999999,1
臺南火車站(南站),22.99721,120.21123999999999,1
臺南火車站(北站),22.99768,120.21146,1
茄萣國中,22.90646,120.18368999999998,1
臺南轉運站,23.00185,120.20908,1
西勢國小,23.01793,120.27463,1
安定工業區,23.11159,120.23539,1
和平里,22.97486,120.23731000000001,1
南華街口,22.99169,120.19221999999999,1
台南站,22.98206,120.19775,1
茄萣環保公園,22.90851,120.17731,1
歸仁區公所,22.96668,120.29359,1
小西門(大億麗緻),22.98854,120.19769,1
台南應用科技大學,23.036839999999998,120.23799,1
漁光分校,22.977970000000003,120.15841999999999,1
中山、民權路口,22.99398,120.20709,1
慶平路,22.996979999999997,120.18161,1
小西門(大億麗緻),22.98883,120.19752,1
黎明中學,23.17353,120.24626,1
裕誠街口,22.98794,120.23958,1
台南二中,23.00303,120.21341000000001,1
臺南火車站(北站),22.99769,120.21161000000001,1
溪埔仔,23.07881,120.13066,1
仁安路,23.051370000000002,120.17862,1
佳和公司,23.10041,120.29495,1
台南站,22.98206,120.19775,1
麻豆區公所,23.18516,120.25813000000001,1
兵仔市,23.003970000000002,120.23513999999999,1
新化區公所,23.03848,120.31108,1
臺南火車站(北站),22.99762,120.21158,1
西門、友愛街口,22.99224,120.19833999999999,1
工業二路口,23.03848,120.15528,1
中華路、勝華街口,23.00684,120.23478999999999,1
緯城社區,23.17311,120.15784,1
臺南火車站(北站),22.99768,120.21146,1
正南五街,23.03872,120.23476000000001,1
中華、華宗路口,23.21859,120.18468,1
歸仁交流道,22.96294,120.31289,1
永華站,22.987370000000002,120.19662,1
和順國小,23.06671,120.21761000000001,1
南台別院,22.98953,120.18285,1
麻豆區公所,23.185229999999997,120.25809,1
桃源新城,23.02587,120.33227,1
正風里,23.01511,120.21331,1
海東里,23.040229999999998,120.18775,1
南萣橋南,22.91604,120.18526000000001,1
濱海站,22.98187,120.15552,1
保安轉運站,22.93261,120.23074,1
中華小東路口,22.998929999999998,120.23481000000001,1
大社南,23.087670000000003,120.31853999999998,1
成大醫院(小東路),23.00089,120.22142,1
麻豆轉運站,23.18581,120.23916000000001,1
東三股,23.09544,120.12271000000001,1
永新社區,23.060589999999998,120.29628000000001,1
窩仔底,22.92895,120.27748999999999,1
城東里,23.064629999999998,120.13148000000001,1
上帝廟,22.969179999999998,120.27396999999999,1
水萍塭公園,22.98777,120.19288,1
臺南轉運站,23.00195,120.20933000000001,1
德記洋行、安平樹屋,23.00215,120.15833,1
仁愛之家,23.04956,120.31993999999999,1
春園休閒農場,23.11954,120.15185,1
安平港,22.97335,120.17752,1
臺南高工,23.01418,120.23035,1
南屏農場,23.007189999999998,120.38917,1
自強路口,23.03069,120.25595,1
蔦松,23.04496,120.25728000000001,1
新化保養廠,23.04339,120.31421,1
六甲里西,23.01255,120.20901,1
麻豆轉運站,23.18581,120.23916000000001,1
豐榮,23.08825,120.30578999999999,1
加州新城,23.01534,120.30928999999999,1
目加溜灣,23.11921,120.31835,1
新興國宅,22.96162,120.18706999999999,1
蛤西港,23.13212,120.17976999999999,1
文化中心(台糖長榮酒店),22.975620000000003,120.22193,1
十二佃神榕前,23.06685,120.17602,1
淵中里,23.050179999999997,120.16864,1
善化轉運站,23.13361,120.30603,1
健康二街口,22.99069,120.17396000000001,1
健康二街口,22.99084,120.17398,1
大灣,23.20841,120.18616999999999,1
蔦松腳,22.93981,120.24848999999999,1
黎明中學,23.17381,120.24646000000001,1
西門、友愛街口,22.99224,120.19833999999999,1
南海尾,23.042279999999998,120.18718,1
圓環,23.18466,120.24198,1
溪埔仔,23.078979999999998,120.13065,1
赤崁樓,22.99691,120.20221000000001,1
安平古堡(安北路),23.00285,120.16049,1
台南二中,23.00352,120.21342,1
大鵬新城,22.99523,120.22851999999999,1
運河博物館,22.99886,120.16376000000001,1
中正路,23.13107,120.29392,1
善化高中,23.130029999999998,120.30035,1
二空東,22.959989999999998,120.22331000000001,1
鉅全公司,22.944689999999998,120.25034,1
新光三越新天地,22.98695,120.19774,1
赤崁樓,22.99691,120.20227,1
延平郡王祠(府前路),22.98891,120.20698,1
台南觀護所,22.97471,120.20931999999999,1
埤頭里活動中心,22.99948,120.30848999999999,1
北安路四段,23.06071,120.21391000000001,1
大成陸橋,23.13056,120.30301000000001,1
社尾,22.952720000000003,120.27507,1
接天寺,23.06716,120.34608999999999,1
什美,23.139020000000002,120.28827,1
新市市場,23.079629999999998,120.29461,1
重興里,23.004939999999998,120.22474,1
安平工業區,22.96891,120.17431,1
家齊高中,22.981370000000002,120.20127,1
可果美,23.10896,120.31813999999999,1
歸南,22.95822,120.28432,1
新興路口,22.97606,120.19118,1
新化區公所,23.038320000000002,120.31097,1
新市,23.07698,120.29186000000001,1
大同里,23.08331,120.22323,1
代天府(新光里),22.97441,120.35853,1
新中,23.15914,120.34007,1
大灣,23.20895,120.18581,1
東和里,23.06273,120.22791000000001,1
三塊厝(仁德),22.94815,120.25117,1
南興里,22.96859,120.27743999999998,1
虛擬站1,23.06241,120.16043,1
鍾厝,22.97083,120.25821,1
國民路,22.967489999999998,120.21146999999999,1
五甲,23.116229999999998,120.31831000000001,1
永華站,22.987460000000002,120.19661,1
東門教會,22.98742,120.21585,1
仰龍橋,22.96726,120.34476000000001,1
淵西里,23.051479999999998,120.16561000000002,1
大潭國小,22.91424,120.27141999999999,1
工業、科技一路口,23.03801,120.14956000000001,1
怡安路二段,23.045189999999998,120.19338,1
將軍山,23.010839999999998,120.36555,1
三十六崙,23.04325,120.36488,1
頂山子腳,23.02006,120.30893999999999,1
安順市場,23.03276,120.21248999999999,1
營盤後,23.03606,120.30173,1
成功大學,23.001179999999998,120.21802,1
安平港,22.97335,120.17752,1
北和順,23.06863,120.21649,1
三股,23.098779999999998,120.11723,1
永樂市場,22.99784,120.19882,1
