StationName,StationAddress,BikesCapacity,lat,lng
輔英科技大學站,輔英科技大學校內停車場(進學路151號),32,22.604022,120.391128
台鐵新左營站,台鐵新左營站旁，臨站前北路,16,22.68838,120.307605
扶輪公園站,博愛四路與重信路口,22,22.682814,120.312075
高雄榮總站,高雄榮民總醫院急診室對面，榮總路上,22,22.680077,120.321723
岡山河堤公園站,仁義路與河堤路二段路口,32,22.786133,120.295002
岡山稽徵所站,岡山稽徵所後方，臨健鷹南路,18,22.785084,120.290891
岡山忠孝里站,岡山移民署後方，臨岡山路,24,22.790537,120.296173
岡山文化中心站,岡山文化中心停車場旁，岡山南路與介壽東路口,18,22.784278,120.297605
原住民故事館站,高雄原住民服務中心對面，翠亨北路上,30,22.593917,120.316238
消防局站,高雄市消防局門口，凱旋四路上,44,22.593092,120.307349
前鎮加工區站(1),加工出口區內，中一路與中四路口,14,22.601729,120.291757
阿公店森林公園站,阿公店森林公園汽車停車場內,16,22.811389,120.343875
文化中心站,廣州一街與青年一路口,38,22.624979,120.31697
正義市場站,正義市場後方，文昌路上,14,22.631218,120.338583
高雄高商站,復興二路與五福二路口,14,22.625217,120.308457
高雄監理所站,公路總局高雄市區監理站門口旁，德民路上,16,22.731132,120.317048
楠梓翠屏站,楠梓區翠屏活動中心旁，德賢路上,56,22.726234,120.302495
鳳新高中站(2),鳳新高中側門，新康街上,6,22.614189,120.343893
森林公園站(2),至聖路與龍德路口,0,22.659623,120.296881
高雄真愛館站,城市商旅高雄真愛館旁，必信街與大義街口,14,22.619285,120.284972
小港醫院站,小港醫院門口休憩區，山明路與漢民路口,38,22.567722,120.362808
自由市場站,自由黃昏市場對面，臨自由三路,34,22.672155,120.311353
興達港站,興達港情人碼頭海上劇場旁，正大路與東方路一段中間,20,22.879024,120.211033
文山高中站,文山高中大門旁，公園路上,0,22.648561,120.353384
市府鳳山行政中心站(2),市府鳳山行政中心旁，澄清路上,2,22.630171,120.3441
澄清湖站(3),澄清湖海洋奇珍園旁停車場內,20,22.655859,120.351552
澄清湖站(4),澄清湖仁智亭前停車場內,20,22.662492,120.341789
澄清湖站(5),澄清湖後門入口處左方,0,22.668333,120.34591
長青綜合服務中心站,長青綜合服務中心停車場內，臨英明路,26,22.623122,120.322092
翠平公園站,翠亨南路上，豐田街與平和東路間,22,22.570005,120.335748
中鋼成功站,中鋼會館7-11前方，忠勤路上,0,22.60411,120.302531
聖和公園站,二聖一路上，和平二路與英明一路間,26,22.61211,120.323489
圖書總館站,新光路上，面對大門廣場左側自行車停車場內,16,22.610606,120.302104
中山公園站,誠義路與國泰路一段路口,22,22.614312,120.360651
高雄監理所(武營)站,高雄區監理所側門旁，武林路與武營路口,22,22.614298,120.336654
捷運鳳山國中站,O14鳳山國中站1號出入口，中山東路上,22,22.624523,120.371078
新甲國小站,新甲國小對面，新富路上，大明路與新強路間,16,22.61274,120.34035
三信家商站,三信家商大門旁，三多一路上,16,22.622089,120.32909
大同醫院站,大同一路與中華三路口,12,22.627568,120.296977
公二公園站,正義路與九如一路口,22,22.636053,120.343413
後備指揮部站,高雄市後備指揮部大門旁，武功巷上,22,22.672199,120.331266
三民高中站,金鼎路與金山路口,8,22.663383,120.326475
家樂福鼎山站,家樂福鼎山店旁，鼎山街上,24,22.653075,120.31874
新光國小站,新光國小側門旁，曾子路上,6,22.680522,120.305831
新莊高中站,新莊高中大門旁，文慈路上,8,22.680827,120.317428
海青工商站,海青工商側門旁，左營大路上,8,22.674425,120.286455
合群新城和區站,合群新城和區，緯九路與海景街口,8,22.695437,120.28737
富國公園站,富國路與保靖街口,6,22.663878,120.306713
鼓山高中站,青海路與鼓山三路口,6,22.651728,120.276293
仁武區運動公園站,仁武區運動公園旁，仁信巷與仁祥街口,6,22.703625,120.345135
旗津醫院站,旗津醫院大門旁，旗港路上,14,22.590139,120.285186
興達港站(2),興達港立體停車場旁，民有路上，民族路與尚禮街間,18,22.871535,120.19391
明德國小站,海富路與海平路口,16,22.687264,120.289478
朝陽寺站,草衙中街上，和運街與和豐街中間，朝陽寺停車場內,20,22.577509,120.322038
橋頭地檢署站,經武路與橋新三路交叉口(臨經武路人行道),18,22.739188,120.305053
生日公園站,四維三路與文橫二路交叉口(臨四維三路公園人行道),30,22.617966,120.305523
蚵仔寮觀光魚市站,港七街與魚港一路口,16,22.727122,120.255518
生態園區站(2),原生態園區站自行車舊站人行道旁,4,22.67706,120.306536
長庚醫院站,長庚路上，湖畔星光購物商場與公園路中間,12,22.650448,120.357777
鐵道文化園區站(1),臨海新路臨鐵道園區,2,22.62044,120.277112
鐵道文化園區站(2),臨海新路臨鐵道園區,6,22.620269,120.277544
茄萣海岸公園站,濱海路三段與濱海路四段口(茄萣海岸公園停車場內),18,22.90801,120.17704
中山大學社科院站,中山大學社會科學院與管理學院中間,10,22.625742,120.26535
建民公園站,興昌街與正興路163巷口,24,22.646565,120.318354
前鎮國中站,新衙路上，前鎮國中大門左側,18,22.583112,120.320345
愛河之心站(2),同盟二路上，天津街與重慶街中間,26,22.651675,120.302047
曹公圳公園站,大東二路與和德街口,18,22.620335,120.360163
精華公園站,錦州街與哈爾濱街口,18,22.642316,120.299238
捷運後勁站,加昌路上，捷運後勁1號出入口旁,16,22.722583,120.316493
願景橋站,河西一路與美術東二路口,8,22.65077,120.287537
福山國中站,自由路四路與重信路口,10,22.68113,120.313956
海巡隊站,七賢三路與蓬萊路銜接處,18,22.620589,120.279365
鼓山渡船頭站,濱海二路上，鼓波街與鼓南街中間,14,22.620987,120.270048
五甲公園站,瑞南街與凱興街,4,22.595525,120.321994
三民游泳池站,自由一路與遼寧一街口,20,22.642476,120.308711
美術東二路站,美術東二路與美術東五路口,24,22.659491,120.288197
新民國小站,自由三路與曾子路口,24,22.676383,120.312624
雄鋒公園站,九如四路與九如四路1991巷口,14,22.66754,120.2853
果貿社區站,翠華路與翠峰路口,12,22.67081,120.289827
文府國小站,文府國小側門旁,14,22.691503,120.316115
龍華市場站,高雄市左營區忠言路與富國路，停車場旁,14,22.65838,120.30641
鳳東公園站,鳳東公園旁人行步道（臨鳳東路）,16,22.62665,120.37977
中山大學海工館站,中山大學海工館旁,4,22.62879,120.26266
WO旅店站,七賢二路WO旅店旁,6,22.63087,120.28844
管仲民裕站,民裕街與管仲南路口,28,22.60557,120.31267
楠梓高中站,楠梓高中大門口旁,10,22.7446,120.33132
龍華國中站,龍華國中人行步道（自由二路）,8,22.65713,120.30899
金獅湖橋站,新金獅湖橋旁，鼎金後路與天祥一路口,20,22.66633,120.32522
城市光廊站,"新興區中華路與五福路側,靠近中華路圓環",24,22.62275,120.29926
竹林公園站,竹林公園臨隆豐路側原機車停車格,26,22.756118,120.305734
台鋁站(1),臨成功二路側人行步道,6,22.603362,120.302008
台鋁站(2),臨成功二路側人行步道,12,22.603152,120.302115
家樂福新楠站,量販店大門旁，清豐一路上,24,22.73629,120.33146
輔英科技大學站(2),輔英科技大學校內停車場,4,22.603916,120.391096
右昌森林公園站,右昌森林公園前，加宏路與加宏路156巷口,14,22.7175,120.29495
市立歷史博物館站,歷史博物館旁臨中正四路人行步道,28,22.62636,120.2867
河北立德站,河北二路與立德街運河旁人行步道空間,8,22.635532,120.29494
介壽先鋒站,介壽路與先鋒路口人行步道前空地,8,22.68124,120.28281
步道公園站,高雄市小港區平和西路與鋼成街口,18,22.56442,120.33113
新莊國小站,新庄仔路與自由路口,4,22.668842,120.309522
仁和公園站,仁和公園前人行步道,12,22.6811,120.3518
檨仔林埤濕地公園站,鼎金後路靠近鼎金路420巷人行步道,14,22.670838,120.324777
臺灣高雄少年及家事法院站,常順街，少年及家事法院入口旁人行道,10,22.73261,120.33512
慈濟靜思堂站,河堤南路與自由一路口,4,22.65436,120.30887
民族國中站,民族國中旁，大昌二路與覺民路口,16,22.640612,120.332317
武漢里活動中心站,活動中心西北側廣場(武營路239巷上廣場人行道),6,22.610988,120.33605
大灣國中站,"大灣國中大門右側人行道,臨仁雄路",14,22.67661,120.34195
漁港公園站,林園漁港公園前，占岸路上,20,22.484821,120.399454
八仙公園站,國泰路一段與和興街口,10,22.61557,120.35475
鳳儀書院站,鳳儀書院大門旁,4,22.62748,120.35976
海光兒童公園站,瑞大街與瑞智街交叉口,20,22.631881,120.36827
明誠高中站,明誠高中後門停車場入口旁，華寧路上,16,22.6675,120.29223
