StationID,StationName,lat,lng,StationAddress,StationClass
0950,五堵,25.07784,121.66764,22178新北市汐止區長安里長安路 17 號,4
7220,頂埔,24.84383,121.80918,26142宜蘭縣頭城鎮下埔里下埔路 4 之 8 號,5
4170,善化,23.13333,120.30653,74154臺南市善化區光文里中山路 1 號,2
1100,中壢,24.95382,121.22571,32041桃園市中壢區石頭里中和路 139 號,1
6190,南平,23.78228,121.45833,97542花蓮縣鳳林鎮南平里自強路 233 號,3
4220,臺南,22.99719,120.21231,70146臺南市東區成大里北門路二段 4 號,1
2220,清水,24.26364,120.56918,43653臺中市清水區南社里中正街 115 號,3
7140,新馬,24.61535,121.82292,27048宜蘭縣蘇澳鎮新城里中山路二段 322 號,5
5110,東海,22.39903,120.57252,94042屏東縣枋寮鄉東海村西安路 92 號,5
1191,千甲,24.80669,121.00301,30059新竹市 東區水源里千甲路 142 號,4
7160,羅東,24.67795,121.77424,26550宜蘭縣羅東鎮大新里公正路 2 號,2
7360,瑞芳,25.10861,121.80596,22441新北市瑞芳區龍潭里明燈路三段 82 號,1
0980,南港,25.05348,121.60706,115臺北市南港區南港里南港路一段 313 號,1
5240,康樂,22.76406,121.09338,95060臺東縣臺東市康樂里博物館路 51 巷 131 號,4
5210,金崙,22.53161,120.96721,96344臺東縣太麻里鄉金崙村金崙 47 之 17 號,3
1090,內壢,24.97287,121.25814,32072桃園市中壢區中原里中華路一段 267 號,3
7290,福隆,25.01598,121.94471,22841新北市貢寮區福隆里福隆街 2 號,3
3300,臺中,24.13661,120.68527,40043臺中市中區綠川里臺灣大道一段 1 號,0
4410,民族,22.63881,120.31479,807高雄市三民區博惠里14鄰凱旋一路260號,4
4330,楠梓,22.72717,120.32453,81162高雄市楠梓區惠楠里建楠路 229 號,2
3380,大村,23.99003,120.56068,515彰化縣大村鄉過溝村福進路 100 號,4
3360,彰化,24.08142,120.53835,50043彰化縣彰化市長樂里三民路 1 號,1
3280,太原,24.16413,120.69981,40645臺中市北屯區北興里東光路 665 號,4
1001,臺北-環島,25.04811,121.51793,,1
1190,北新竹,24.80876,120.98385,30060新竹市 東區東園里中華路一段 291 之 2 號,4
7320,牡丹,25.05877,121.85194,22741新北市雙溪區牡丹里51號,5
4200,永康,23.03832,120.25354,71090臺南市永康區埔園里中山路 459 號,2
3420,田中,23.85827,120.59121,52042彰化縣田中鎮中路里中州路一段 1 號,2
4420,科工館,22.63702,120.32663,807高雄市三民區寶盛里15鄰大順三路307號,4
6090,東竹,23.22612,121.27844,98391花蓮縣富里鄉新興村新興 26 號,3
6240,志學,23.90751,121.52947,97443花蓮縣壽豐鄉志學村中正路 1 號,3
6020,鹿野,22.91251,121.13696,95542臺東縣鹿野鄉鹿野村中正路 38 號,3
1205,九讚頭,24.72068,121.13621,31242新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,3
7361,海科館,25.13768,121.80003,202基隆市中正區長潭里,5
0940,百福,25.07803,121.69373,20651基隆市七堵區堵南里明德三路 1 之 1 號,4
5040,竹田,22.58648,120.54009,91144屏東縣竹田鄉履豐村豐明路 27 之 1 號,4
5080,鎮安,22.45794,120.51151,92748屏東縣林邊鄉鎮安村永和路 4 號,5
4260,仁德,22.92364,120.24061,71750臺南市仁德區保安里永德路 10 號,4
7110,永樂,24.56843,121.84458,27046宜蘭縣蘇澳鎮永樂里圳頭路 60 號,3
5020,麟洛,22.63478,120.51446,90941屏東縣麟洛鄉田道村中華路站前巷 15 號,5
7310,雙溪,25.03858,121.86645,22744新北市雙溪區新基里朝陽街 1 號,2
3330,烏日,24.10867,120.62244,41442臺中市烏日區烏日里三民街 258 號,4
7030,新城,24.12761,121.64103,97163花蓮縣新城鄉新城村新興一路 73 號,2
1080,桃園,24.98935,121.31445,33041桃園市桃園區武陵里中正路 1 號,1
