grid,StationUID,StationID,StationName,StationAddress,BikeAllowOnHoliday,lat,lng
399,TRTC-R12,R12,雙連,10354臺北市大同區民生西路47號,True,25.057575,121.520685
368,TRTC-BR21,BR21,葫洲,11486臺北市內湖區康寧路3段16號,False,25.07271,121.607146
398,TRTC-O12,O12,大橋頭,10357臺北市大同區民權西路223號B1,True,25.06322,121.513003
213,TRTC-R22,R22,北投,11246臺北市北投區光明路1號,True,25.131819,121.498648
210,TRTC-R26,R26,竹圍,25173新北市淡水區民權路50號,True,25.1369,121.45955
475,TRTC-R08,R08,中正紀念堂,10074臺北市中正區羅斯福路1段8之1號B1  ,True,25.032767,121.518273
687,TRTC-BL03,BL03,土城,23671新北市土城區金城路1段105號B1,True,24.97313,121.44432
321,TRTC-O54,O54,蘆洲,24760新北市蘆洲區三民路386號B1,True,25.09152,121.46471
437,TRTC-BL12,BL12,台北車站,10041臺北市中正區忠孝西路1段49號,False,25.04631,121.517415
602,TRTC-BR04,BR04,萬芳醫院,11696臺北市文山區興隆路3段113號,False,24.99932,121.558092
