公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lat,lng,市鎮鄉村里,area1,area2,area3
22555003,統一超商股份有限公司,97174287,台中巿第九十九分公司,臺中市北區明德里漢口路三段１７２號,1,24.1667638,120.6718976,台灣台中市北區明新里,台中市,北區,明新里
22555003,統一超商股份有限公司,97174293,台中巿第一一０分公司,臺中市中區建國路２０２號,1,24.138241,120.6856569,台灣台中市中區綠川里,台中市,中區,綠川里
22555003,統一超商股份有限公司,97174701,台北巿第１２６分公司,臺北市北投區崇仁路一段76號,1,25.1262669,121.5014667,台灣台北市北投區清江里,台北市,北投區,清江里
22555003,統一超商股份有限公司,97174717,台北縣第１２４分公司,新北市三峽區復興路４４７號,1,24.9383318,121.3624239,台灣新北市三峽區鳶山里,新北市,三峽區,鳶山里
22555003,統一超商股份有限公司,97174723,台中巿第一一一分公司,臺中市西區公益路３４５–１號,3,24.1507008,120.6550051,台灣台中市西區公正里,台中市,西區,公正里
22555003,統一超商股份有限公司,97174738,高雄巿第１４８分公司,高雄市前金區草江里七賢二路193號,1,22.6328415,120.2952804,台灣高雄市前金區草江里,高雄市,前金區,草江里
22555003,統一超商股份有限公司,97175244,台北縣第２４６分公司,新北市樹林區育英路１４６號,3,24.9815605,121.4198606,台灣新北市樹林區彭福里,新北市,樹林區,彭福里
22555003,統一超商股份有限公司,97175259,桃園縣第８４分公司,桃園市八德區介壽路一段１３４號,1,24.9753271,121.3022445,台灣桃園市八德區大福里,桃園市,八德區,大福里
22555003,統一超商股份有限公司,97175265,台中市第二三八分公司,臺中市豐原區中正路499號,1,24.2504376,120.7109044,台灣台中市豐原區西安里,台中市,豐原區,西安里
22555003,統一超商股份有限公司,97175271,屏東縣第２１分公司,屏東縣內埔鄉內埔村廣濟路二十二號,3,22.6120045,120.5668293,台灣屏東縣內埔鄉內埔村,屏東縣,內埔鄉,內埔村
22555003,統一超商股份有限公司,97175552,南投縣第１１分公司,南投縣草屯鎮虎山路五十一號,3,23.9666894,120.6871185,台灣南投縣草屯鎮山腳里,南投縣,草屯鎮,山腳里
22555003,統一超商股份有限公司,97175568,台北巿第１５９分公司,臺北市南港區東新街六十七號,3,25.0466389,121.587989,台灣台北市南港區聯成里,台北市,南港區,聯成里
22555003,統一超商股份有限公司,97175574,台北巿第２２２分公司,臺北市大安區敦化南路二段八十一巷二十九號,1,25.029738,121.549787,台灣台北市大安區義安里,台北市,大安區,義安里
22555003,統一超商股份有限公司,97175589,台北縣第２４４分公司,新北市新店區安和路二段１７５號,3,24.9744881,121.5184677,台灣新北市新店區安和里,新北市,新店區,安和里
22555003,統一超商股份有限公司,97175595,台北縣第２４５分公司,新北市永和區保生路1號,1,25.0071406,121.5066017,台灣新北市永和區保安里,新北市,永和區,保安里
22555003,統一超商股份有限公司,97175645,台北縣第２４２分公司,新北市三重區正義南路十三號,1,25.0610646,121.4982149,台灣新北市三重區光輝里,新北市,三重區,光輝里
22555003,統一超商股份有限公司,97175650,台北縣第２４３分公司,新北市中和區景平路１１６號,3,24.9917211,121.5196178,台灣新北市中和區秀水里,新北市,中和區,秀水里
22555003,統一超商股份有限公司,97176004,台南縣第二十九分公司,臺南市柳營區士林村柳營路2段1號,1,23.278395,120.311673,台灣台南市柳營區士林里,台南市,柳營區,士林里
22555003,統一超商股份有限公司,97176172,台南巿第８８分公司,臺南市中西區西門路二段３８４號,1,22.9985523,120.2007313,台灣台南市中西區天后里,台南市,中西區,天后里
22555003,統一超商股份有限公司,97176187,新竹巿第８分公司,新竹市林森路７號,1,24.8017534,120.9706749,台灣新竹市東區榮光里,新竹市,東區,榮光里
22555003,統一超商股份有限公司,97176193,台北縣第２４７分公司,新北市三重區重安街八十一號,3,25.056783,121.4911,台灣新北市三重區光明里,新北市,三重區,光明里
22555003,統一超商股份有限公司,97176497,台南巿第９１分公司,臺南市東區泉北里東門路一段１９９號,1,22.9876602,120.2160093,台灣台南市東區東門里,台南市,東區,東門里
22555003,統一超商股份有限公司,97176503,台北縣第２４８分公司,新北市中和區永和路56號,1,25.004266,121.4991694,台灣新北市中和區福祥里,新北市,中和區,福祥里
22555003,統一超商股份有限公司,97176519,桃園縣第８５分公司,桃園市中壢區元化路１–１號,1,24.9559024,121.2270561,台灣桃園市中壢區中央里,桃園市,中壢區,中央里
22555003,統一超商股份有限公司,97176525,台南縣第４８分公司,臺南市新營區民榮里十五鄰復興路２９３號,3,23.303999,120.30282,台灣台南市新營區民榮里,台南市,新營區,民榮里
