NAME,ADDRESS,CAR_NUM,MOTOR_NUM,lat,lng
桃園市婦女館地下停車場,桃園市桃園區延平路147號,106,0,24.9814029,121.315387
連勝出國停車場,桃園市大園區埔心村中正東路444巷21號,49,0,25.0577587,121.2122359
Times桃園三民路停車場,桃園區西門段169號,8,0,25.0437272,121.5061779
捷登第二停車場,桃園市桃園區和平段224號,134,0,24.9973591,121.3123398
東門段平面停車場,桃園區成功路與朝陽街交叉口號,119,0,24.9934099,121.2969674
僑愛停車場,大溪區僑愛一街46巷旁號,29,0,24.921909,121.293393
愛山停車場,蘆竹區愛山街30號,57,0,25.053999,121.301186
吉拾停車場桃園中山場,桃園市桃園區中山路958號,512,0,24.9896366,121.2867765
廈門停車場,桃園市桃園區中路三段189號,80,0,25.001919,121.287392
國立中央大學停車場,平鎮區中央段9號,140,0,24.9296022,121.2053963
薇緹花園飯店停車場,桃園市桃園區中正路703號,42,0,25.0070279,121.3031833
Times內壢忠勤街停車場,桃園市中壢區仁愛段193號,19,0,24.9600963,121.2133357
Times內壢成章四街停車場,桃園市中壢區信義路106號,21,0,24.9741074,121.2571612
龍岡停車場,中壢區龍東路203號,168,116,24.9301065,121.2532108
台貿停車場,台貿一街與正義路口旁號,86,0,24.9376794,121.255941
貿東停車場,平鎮區忠貞段144-3號,31,0,24.922781,121.250101
東展企業有限公司南華二站停車場,桃園區桃園段武陵小段145-71號,57,0,24.987672,121.2857263
新屋區停一立體停車場,新屋區中山路257號,160,0,24.9725746,121.1058321
慈文停車場,桃園區慈文段772-1號,159,0,25.0094401,121.3016355
便利停車場朝陽站,桃園市桃園區朝陽街二段17號,8,0,24.9917851,121.3155007
樂生療養院停車場,桃園市龜山區迴龍村16鄰萬壽路一段50巷2號,121,0,25.018683,121.4089158
南園停車場,中壢區南園二路267號,60,20,24.971528,121.2285249
茂榮大樓停車場,桃園市桃園區復興路98號,44,0,24.991149,121.3156783
五福地下停車場,蘆竹區五福一路92巷與五福一路交叉口旁(蘆竹區藝文音樂廣場公園下)號,124,0,25.055565,121.2947763
夏合八德農會停車場,八德區大和段252及254號,49,0,24.9555529,121.2940426
忠勇一街停車場,桃園市八德區忠勇一街120號,43,0,24.9656889,121.3038652
Times內壢成章二街停車場,中壢區成章二街與文城南街口號,125,0,24.9792763,121.25252
機場捷運長庚醫院A8站共開大樓停車場,桃園市龜山區復興一路8號,391,408,25.0605103,121.3699843
Times桃園中正莊敬停車場,桃園區富國段99號,176,0,24.9934099,121.2969674
Times中壢中北路第3停車場,中壢區中北路38號,17,0,24.955872,121.236669
小人國主題樂園停車場,桃園市龍潭區高原里高原路891號,171,4,24.8297534,121.1929035
GLORIA OUTLETS華泰名品城停車場,桃園市中壢區春德路189號,641,533,25.0145382,121.2127909
Times大園中正西路停車場,桃園市大園區中正西路12號,41,0,25.0638556,121.1954603
南榮地下停車場,桃園市蘆竹區洛陽街107號,77,0,25.0451335,121.2910276
永春停車場,中壢區永春路與永順街口(青溪段277號,108,54,25.0133229,121.2056939
站前東停車場,中壢區青山路與青心路口(青昇段430號,73,175,25.0126189,121.2191537
站前西停車場,中壢區青園路與高鐵站前西路一段路口(青平段42號,90,140,25.0100617,121.2165876
青昇停車場,中壢區青峰路一段與青昇路口(青昇段406號,77,175,25.0142725,121.2243236
Times中茂新天地停車場,桃園市桃園區同德五街61~77號,295,0,25.0143247,121.3000271
Times桃園莊敬停車場,桃園區莊敬路一段375號,74,0,25.0235082,121.2959675
新明國小地下停車場,中壢區明德路211號,272,262,24.9611578,121.2168306
永豐-廈門停車場,桃園市桃園區廈門街68號,72,0,24.994762,121.297827
中壢廣明一停車場,中壢區廣明路與忠孝路49巷旁空號,89,0,24.9543905,121.2139062
桃園新站停車場,桃園市桃園區延平段1號,38,100,24.983649,121.3147124
新明市場停車場,桃園市中壢區明德路60號,81,59,24.9563375,121.2162108
大連平面停車場,平鎮區上海路與中庸路口號,88,0,24.9129382,121.2063489
上海平面停車場,平鎮區中庸路與上海路口號,55,0,24.9129382,121.2063489
Times桃園國豐五街停車場,桃園區龍安段國豐五街51號,42,0,24.9912456,121.2797191
延平立體停車場,中壢區延平路535號,201,161,24.9560083,121.223199
格式停車場,桃園區新埔八街31號,50,0,25.0194532,121.2989526
Times桃園大華九街停車場,桃園市桃園區大華九街47-1號,23,0,25.0040645,121.306742
華亞園區科技二路停車場,桃園市龜山區科技二路與文化二路口號,112,116,25.051504,121.372575
華亞園區廣停四停車場,桃園市龜山區華亞五路上號,593,1280,25.0359966,121.374867
華亞園區公園五停車場,桃園市龜山區華亞科技九路上號,143,0,25.051504,121.372575
華亞園區公園六停車場,桃園市龜山區科技九路上號,259,0,25.0351229,121.3759192
Times優衣庫中壢中華路停車場,桃園市中壢區中華路一段699號,47,0,24.9686438,121.2492806
福興停車場,桃園市桃園區福山街79巷2弄38號,11,0,25.0151525,121.3101311
新長越民族停車場,桃園市桃園區民族路55號,35,0,24.9901533,121.3097048
桃園市立蘆竹羽球館停車場,桃園市蘆竹區南華段25-1及25-7號,25,0,25.0784359,121.2969674
忠勇停車場,八德區忠勇一街與忠勇六街交叉口號,50,0,24.9655767,121.3055013
中壢廣明二停車場,中壢區廣明路與廣明路122巷旁空號,253,0,24.9551893,121.2141167
家樂福平鎮分公司停車場,桃園市平鎮區莊敬里48鄰坤慶路1號,267,0,24.9026362,121.2124509
中鑄停車場,中壢區中華路一段619巷旁號,26,0,24.9688362,121.2507885
大豐停車場,桃園市桃園區大豐路51號,113,0,24.980484,121.317992
五都停車場高鐵桃園三站,中壢區青昇段440-1及441號,228,0,25.0142725,121.2243236
桃園市桃園區公所國道二號橋下停車場,桃園區上海路與國強一街口及龍安街與中華路口之國道二號,157,0,24.9926913,121.2822809
長興一路停車場,桃園市八德區福興段903號,61,0,24.97866,121.2747422
