縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng,stu_sum,stu_sum_lastyear,staff_sum
30,臺北市,381305,私立景文高中附設國中部,5,4,4,92,54,78,62,91,48,77,40,0,0,0,0,24.985367,121.567397,425,117,0
30,臺北市,381306,私立靜心高中附設國中部,6,6,6,131,139,144,121,126,134,128,137,0,0,0,0,24.9988631,121.5467337,795,265,0
30,臺北市,383302,市立萬芳高中附設國中部,8,8,8,69,69,102,94,116,91,88,94,0,0,0,0,25.0006248,121.5589135,541,182,0
30,臺北市,383501,市立木柵國中,6,7,8,73,59,65,71,96,74,91,85,20,42,2,12,24.98752,121.5676113,438,176,76
30,臺北市,383502,市立實踐國中,8,10,10,134,124,115,101,136,113,121,112,14,65,5,11,24.9834041,121.554857,723,233,95
30,臺北市,383503,市立北政國中,4,4,4,63,56,59,32,52,63,70,50,9,28,2,11,24.9845598,121.5779958,325,120,50
30,臺北市,383504,市立景美國中,13,13,14,196,165,223,205,230,190,208,176,36,72,1,18,24.9931712,121.5429395,1209,384,127
30,臺北市,383505,市立興福國中,3,3,3,36,21,37,14,44,23,25,19,8,22,2,8,25.0049365,121.5500586,175,44,40
30,臺北市,383507,市立景興國中,14,15,15,225,211,223,223,236,210,224,170,29,86,3,17,24.9962215,121.5442841,1328,394,135
30,臺北市,393301,市立南港高中附設國中部,10,9,10,110,93,127,107,145,111,112,112,0,0,0,0,25.0524116,121.5950264,693,224,0
30,臺北市,393501,市立誠正國中,11,11,11,121,99,124,106,158,114,168,131,35,56,3,14,25.054232,121.618819,722,299,108
30,臺北市,393503,市立成德國中,5,5,6,56,44,61,39,71,54,52,51,17,33,1,11,25.0449417,121.5876777,325,103,62
30,臺北市,400144,國立臺灣戲曲學院(國中),5,5,5,36,66,44,53,31,74,35,75,0,0,0,0,25.0819234,121.586525,304,110,0
30,臺北市,401302,私立方濟中學附設國中部,3,2,2,64,13,52,10,63,5,59,8,0,0,0,0,25.0773094,121.5905296,207,67,0
30,臺北市,401303,私立達人女中附設國中部,5,5,6,0,190,0,190,0,217,0,227,0,0,0,0,25.0812081,121.5876596,597,227,0
30,臺北市,403501,市立內湖國中,11,12,13,112,106,98,111,145,123,144,142,31,71,6,13,25.077035,121.5886895,695,286,121
30,臺北市,403502,市立麗山國中,21,21,21,339,321,322,255,324,283,301,308,39,122,2,19,25.0816165,121.5756877,1844,609,182
30,臺北市,403503,市立三民國中,6,6,6,50,61,74,53,64,55,74,65,17,38,2,12,22.6465942,120.3071577,357,139,69
30,臺北市,403504,市立西湖國中,4,4,4,42,22,42,22,45,25,51,29,12,25,4,9,25.0854627,121.5660775,198,80,50
30,臺北市,403505,市立東湖國中,13,13,14,178,162,157,166,181,144,199,175,25,80,3,16,25.0721649,121.6194218,988,374,124
30,臺北市,403506,市立明湖國中,20,20,20,299,310,301,270,288,228,274,264,42,110,2,19,25.0706196,121.6106431,1696,538,173
30,臺北市,411301,私立泰北高中附設國中部,1,1,1,21,12,20,12,15,5,0,0,0,0,0,0,25.097375,121.533898,85,0,0
30,臺北市,411302,私立衛理女中附設國中部,6,6,6,0,270,0,247,0,240,0,241,0,0,0,0,25.1017466,121.5523894,757,241,0
