id,grid,name,type,lat,lng
3848363382,282,星巴克,cafe,24.1884198,120.6865803
4243927958,390,牛肉麵,restaurant,24.1262853,120.7144330
5534174343,322,明園日本料理,restaurant,24.1641301,120.6494349
4840912323,146,薏安素食坊早午餐,restaurant,24.2698104,120.5770970
1619140655,443,採茗雅集,restaurant,24.0771131,120.7131265
3838675172,305,陳火雞肉飯,restaurant,24.1821151,120.7213961
4623600489,365,萌初甜點,cafe,24.1383850,120.6706001
4394924718,345,石二鍋,restaurant,24.1479582,120.7024016
5551211883,324,佳興自助餐,restaurant,24.1648215,120.6825053
4225618910,303,春秀肉粽,restaurant,24.1771220,120.6910130
3202484492,300,小園迷你火鍋,restaurant,24.1780338,120.6429390
4716033193,145,真好吃早中晚自助餐館.,restaurant,24.2668113,120.5657466
5626368551,304,JSP岬尚寶,restaurant,24.1801866,120.6934365
7362239486,325,麵攤,restaurant,24.1609377,120.6973133
4409948527,346,摩斯漢堡,fast_food,24.1492499,120.7084676
3621545936,458,PIZZA HUT必勝客,fast_food,24.0635692,120.6984758
5562451366,343,珍開興,restaurant,24.1489386,120.6665416
6187315955,100,三媽臭臭鍋,restaurant,24.3091708,120.7245395
4257093208,442,古味食補-薑母鴨,restaurant,24.0879212,120.6961279
5564893655,344,古Love晴創意廚房,restaurant,24.1537402,120.6878236
6318060020,282,阿陞功夫廚房,restaurant,24.1911595,120.6838482
7256106498,302,呷尚寶,restaurant,24.1747257,120.6674512
6573999602,126,我家牛肉麵,restaurant,24.2790119,120.5712646
6881370455,324,巧媽咪,restaurant,24.1702355,120.6913530
4639685945,303,淡水手工早點麵食館,restaurant,24.1710421,120.6794574
6366105284,186,臺灣饅頭,restaurant,24.2440005,120.5615388
