code3,Month,InvoiceCount,SalesAmount,StoreCount,InvoiceCount_AVG,SalesAmount_AVG,StoreCount_AVG
A6400023008,6|9|8|1|7|2|11|12|5|10|4|3,47047|47419|44150|-99|48967|-99|30686|45130|51710|48923|-99|-99,19144096|18262096|18125543|-99|19950335|-99|15994436|17978077|20965073|19250931|-99|-99,5|5|5|-99|5|-99|5|5|5|5|-99|-99,45504.0,18708823.375,5.0
A6400023009,4|9|3|2|8|7|11|12|5|1|6|10,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400023010,6|1|8|5|3|7|11|10|12|2|4|9,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400024001,2|8|9|3|7|12|5|10|1|4|11|6,121080|138648|175294|184453|159315|195945|198859|199663|145247|175046|178379|177980,38670198|42461090|48642874|41154571|43442030|46046913|48340014|48143495|41237970|41480783|44878094|42353075,14|15|15|14|15|15|14|15|14|14|15|14,170825.75,43904258.916666664,14.5
A6400024002,6|10|4|5|8|9|2|12|1|3|7|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400024003,1|4|6|7|9|10|11|3|12|2|5|8,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400024004,1|10|9|8|2|12|4|7|11|5|3|6,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018004,1|6|2|4|8|12|3|5|10|7|11|9,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400018005,5|6|10|1|9|4|12|2|8|3|7|11,95558|89364|88946|82036|76148|87632|86337|73101|83982|86949|91168|85968,12649578|12026997|11130264|11781511|10693244|11775519|11627607|12252538|12212646|11440647|12919037|11289425,6|6|6|6|6|6|6|6|6|6|6|6,85599.08333333333,11816584.416666666,6.0
A6400018006,5|9|10|2|4|7|3|6|8|12|1|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400024005,1|2|6|10|3|5|9|4|8|12|7|11,61948|62269|72601|68644|66169|74422|71468|64478|73994|64405|75008|64221,10186705|14088641|16876730|11478307|15676893|13771535|12971025|11594155|15057281|9696735|15297996|9633912,5|5|6|6|5|6|6|5|6|6|6|6,68302.25,13027492.916666666,5.666666666666667
A6400024006,8|11|3|9|2|6|12|1|4|10|5|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
