code3	Month	PowerRate	PowerSum	PowerUser	PowerRate_AVG	PowerSum_AVG	PowerUser_AVG
A1000201013	1|2|3|4|5|6	2185997.2|3530219.7|3002475.65|3381596.36|4809173.15|6913291.11	854265|1201129|1032102|1105697|1467858|1952980	1927|2446|2242|2005|2480|2546	3970458.862	1269005.167	2274.333333
A1000201016							
A1000201012	1|2|3|4|5|6	3952257.59|5656741.08|5958017.6|5900140.41|8877178.5|11484645.57	1382260|1881115|1787798|1828323|2531028|3115089	2876|3708|3316|3020|3758|3836	6971496.792	2087602.167	3419
A1000201019	1|2|3|4|5|6	2909527.95|2885579.4|4255725.14|2923078.22|5347555.07|6858245.3	1011773|933399|1258183|926942|1631091|1671341	1701|2184|2000|1794|2217|2311	4196618.513	1238788.167	2034.5
A1000201018	1|2|3|4|5|6	1095363.49|1676534.4|1903436.31|1520616.99|2071712.46|3421676.72	572623|629899|677358|579251|784790|1028054	1595|2054|1867|1680|2071|2139	1948223.395	711995.8333	1901
A1000201017	1|2|3|4|5|6	1118352.1|1512216.34|1457879.13|1272786.73|2270102.39|2652017.13	469117|556223|548670|482099|768962|859323	2819|1902|3298|2959|1917|3780	1713892.303	614065.6667	2779.166667
A1000207006	1|2|3|4|5|6	631754.26|841125.32|1239642.06|1291016.32|1389137.63|2090695.66	388832|371434|518224|537519|541751|704433	2614|2770|1945|3790|1811|1858	1247228.542	510365.5	2464.666667
A1000201023	1|2|3|4|5|6	2179379.9|2913261.54|3020053.21|2758012.86|4530029.43|6436915.05	811237|939429|970458|895411|1338378|1677033	1696|2180|1984|1784|2200|2272	3639608.665	1105324.333	2019.333333
A1000201020	1|2|3|4|5|6	1073310.24|1494802.73|1473212.07|1276252.67|2252216.85|2781160.76	466345|552705|552550|482956|755079|873807	1493|1925|1749|1573|1941|2005	1725159.22	613907	1781
A1000201021	1|2|3|4|5|6	1300213.62|1796310.44|1657364.28|1500534.74|2525717.2|3126550.67	463635|565317|533327|483971|753850|891375	1147|2577|2424|2182|2685|1516	1984448.492	615245.8333	2088.5
A1000201022	1|2|3|4|5|6	168685.33|217716.92|230101.79|204790.77|356720.39|414201.09	67167|78261|80766|71115|111832|124709	217|480|249|225|274|272	265369.3817	88975	286.1666667
A1000201024	1|2|3|4|5|6	1050397.18|1491594.12|1392566.46|1296015.33|2255771.6|2855865.0	430844|531718|506354|461660|725823|860268	1311|1689|1535|1381|1703|1759	1723701.615	586111.1667	1563
A1000201025	1|2|3|4|5|6	1037990.95|1590005.42|1836707.09|1479732.02|2024185.41|3282110.9	541849|585833|629802|538157|738653|966985	2425|1670|2841|2555|3153|3257	1875121.965	666879.8333	2650.166667
A1000207005	1|2|3|4|5|6	824246.28|907821.47|1582747.29|1827567.29|2075834.19|2483052.0	514428|485180|650912|710550|759158|841890	1506|2769|1965|3789|3429|1882	1616878.087	660353	2556.666667
A1000201026	1|2|3|4|5|6	1944481.81|2592208.89|2578113.89|2319115.16|3950967.3|5169690.49	729501|861323|871293|793109|1203452|1455464	1796|2321|2114|1900|2328|2405	3092429.59	985690.3333	2144
A1000206006	1|2|3|4|5|6	1276382.57|1574046.76|1809419.66|1848940.76|2202351.74|3543255.26	705635|650062|692200|723890|837237|1128401	2172|2270|2094|2267|2315|2633	2042399.458	789570.8333	2291.833333
A1000201032	1|2|3|4|5|6	1291107.68|1927335.0|2102502.27|1720403.79|2326162.4|3960990.61	646104|721470|744500|639095|847931|1151150	1884|4565|4153|3729|2405|4761	2221416.958	791708.3333	3582.833333
