Code3,all_code3,Year,Month,PowerSum,PowerSum_AVG
A1000201028,A1000201028|A1000201028|A1000201028|A1000201028|A1000201028|A1000201028,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,23142|21419|22449|22365|22399|23325,22516.5
A1000201029,A1000201029|A1000201029|A1000201029|A1000201029|A1000201029|A1000201029,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22866|21280|23391|23132|23938|24961,23261.333333333332
A1000206009,A1000206009|A1000206009|A1000206009|A1000206009|A1000206009|A1000206009,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12479|11132|12668|11601|12497|11911,12048.0
A1000201027,A1000201027|A1000201027|A1000201027|A1000201027|A1000201027|A1000201027,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,2316|2099|2790|2826|2924|2703,2609.6666666666665
A1000201030,A1000201030|A1000201030|A1000201030|A1000201030|A1000201030|A1000201030,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,38393|34578|40305|40729|42982|41101,39681.333333333336
A1000201031,A1000201031|A1000201031|A1000201031|A1000201031|A1000201031|A1000201031,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,21219|19306|20528|20914|21241|21316,20754.0
A1000207007,A1000207007|A1000207007|A1000207007|A1000207007|A1000207007|A1000207007,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,26386|23694|24631|24765|25169|25742,25064.5
A1000201033,A1000201033|A1000201033|A1000201033|A1000201033|A1000201033|A1000201033,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,29278|26672|29253|28977|29206|29368,28792.333333333332
A1000201037,A1000201037|A1000201037|A1000201037|A1000201037|A1000201037|A1000201037,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,34968|31753|34890|34377|35646|36036,34611.666666666664
A1000207010,A1000207010|A1000207010|A1000207010|A1000207010|A1000207010|A1000207010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12621|11521|12683|12450|13206|12952,12572.166666666666
A1000201035,A1000201035|A1000201035|A1000201035|A1000201035|A1000201035|A1000201035,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,18244|16998|18384|18971|19384|18469,18408.333333333332
A1000207009,A1000207009|A1000207009|A1000207009|A1000207009|A1000207009|A1000207009,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,16907|15202|15802|16606|17699|17174,16565.0
A1000201034,A1000201034|A1000201034|A1000201034|A1000201034|A1000201034|A1000201034,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,27138|24918|26687|27311|27928|28001,26997.166666666668
A1000201036,A1000201036|A1000201036|A1000201036|A1000201036|A1000201036|A1000201036,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,35566|32408|33581|34225|35209|37074,34677.166666666664
A1000206010,A1000206010|A1000206010|A1000206010|A1000206010|A1000206010|A1000206010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,24734|21858|24982|23764|25530|25046,24319.0
A1000207011,A1000207011|A1000207011|A1000207011|A1000207011|A1000207011|A1000207011,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,23082|20979|21094|21425|21754|22538,21812.0
A1000207012,A1000207012|A1000207012|A1000207012|A1000207012|A1000207012|A1000207012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20832|19247|20130|20165|20460|21598,20405.333333333332
,,,,,0.0
A1000207013,A1000207013|A1000207013|A1000207013|A1000207013|A1000207013|A1000207013,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,38|36|38|38|38|37,37.5
A1000202001,A1000202001|A1000202001|A1000202001|A1000202001|A1000202001|A1000202001,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20511|18576|19234|19372|19628|20970,19715.166666666668
A1000202003,A1000202003|A1000202003|A1000202003|A1000202003|A1000202003|A1000202003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,18346|16373|16734|16571|16868|17524,17069.333333333332
,,,,,0.0
,,,,,0.0
A1000208003,A1000208003|A1000208003|A1000208003|A1000208003|A1000208003|A1000208003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17811|15950|17883|16891|18350|18540,17570.833333333332
A1000202004,A1000202004|A1000202004|A1000202004|A1000202004|A1000202004|A1000202004,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19679|18039|19248|19236|19514|19960,19279.333333333332
A1000202005,A1000202005|A1000202005|A1000202005|A1000202005|A1000202005|A1000202005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,1440|1355|1179|1021|961|1071,1171.1666666666667
A1000202006,A1000202006|A1000202006|A1000202006|A1000202006|A1000202006|A1000202006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,33051|30845|32519|32527|33689|33180,32635.166666666668
A1000208002,A1000208002|A1000208002|A1000208002|A1000208002|A1000208002|A1000208002,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,58|46|48|40|47|48,47.833333333333336
A1000202011,A1000202011|A1000202011|A1000202011|A1000202011|A1000202011|A1000202011,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,25794|23946|25848|26399|27385|28411,26297.166666666668
A1000202007,A1000202007|A1000202007|A1000202007|A1000202007|A1000202007|A1000202007,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,24508|22033|21763|21835|21886|22048,22345.5
A1000202009,A1000202009|A1000202009|A1000202009|A1000202009|A1000202009|A1000202009,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19021|17865|18855|19421|19799|20594,19259.166666666668
A1000202008,A1000202008|A1000202008|A1000202008|A1000202008|A1000202008|A1000202008,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,827|578|918|1134|1166|1145,961.3333333333334
A1000202010,A1000202010|A1000202010|A1000202010|A1000202010|A1000202010|A1000202010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17834|16662|18251|18109|18161|18656,17945.5
A1000202016,A1000202016|A1000202016|A1000202016|A1000202016|A1000202016|A1000202016,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12464|11591|11918|12232|12577|13065,12307.833333333334
A1000202023,A1000202023|A1000202023|A1000202023|A1000202023|A1000202023|A1000202023,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20302|18203|20062|19263|19160|20781,19628.5
A1000202013,A1000202013|A1000202013|A1000202013|A1000202013|A1000202013|A1000202013,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,47376|43780|47256|47144|48688|48687,47155.166666666664
A1000202017,A1000202017|A1000202017|A1000202017|A1000202017|A1000202017|A1000202017,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,34023|31073|33709|32855|33813|32851,33054.0
A1000202012,A1000202012|A1000202012|A1000202012|A1000202012|A1000202012|A1000202012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20009|18764|19308|19192|19273|19670,19369.333333333332
A1000202014,A1000202014|A1000202014|A1000202014|A1000202014|A1000202014|A1000202014,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,23987|22466|23479|23584|23981|24244,23623.5
A1000202015,A1000202015|A1000202015|A1000202015|A1000202015|A1000202015|A1000202015,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19518|18172|18973|18945|19234|19763,19100.833333333332
A1000202018,A1000202018|A1000202018|A1000202018|A1000202018|A1000202018|A1000202018,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,24286|22565|24069|23835|23598|23501,23642.333333333332
A1000202020,A1000202020|A1000202020|A1000202020|A1000202020|A1000202020|A1000202020,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,37466|33837|36183|34949|37264|36498,36032.833333333336
A1000202021,A1000202021|A1000202021|A1000202021|A1000202021|A1000202021|A1000202021,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,26727|23736|26055|24675|26579|25852,25604.0
A1000202019,A1000202019|A1000202019|A1000202019|A1000202019|A1000202019|A1000202019,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,108|106|133|134|142|163,131.0
A1000202022,A1000202022|A1000202022|A1000202022|A1000202022|A1000202022|A1000202022,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22971|20718|23455|22834|24042|24233,23042.166666666668
A1000202024,A1000202024|A1000202024|A1000202024|A1000202024|A1000202024|A1000202024,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,52608|46365|53855|52261|55640|55164,52648.833333333336
A1000202029,A1000202029|A1000202029|A1000202029|A1000202029|A1000202029|A1000202029,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,25834|22198|24860|24418|24395|25749,24575.666666666668
A1000202025,A1000202025|A1000202025|A1000202025|A1000202025|A1000202025|A1000202025,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,44220|39388|40377|38624|40431|41173,40702.166666666664
A1000202026,A1000202026|A1000202026|A1000202026|A1000202026|A1000202026|A1000202026,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,32278|27842|31153|29020|31432|29522,30207.833333333332
A1000202028,A1000202028|A1000202028|A1000202028|A1000202028|A1000202028|A1000202028,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20504|17912|20237|18869|21247|20164,19822.166666666668
A1000208007,A1000208007|A1000208007|A1000208007|A1000208007|A1000208007|A1000208007,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,29400|26008|28830|28021|28819|30564,28607.0
A1000208012,A1000208012|A1000208012|A1000208012|A1000208012|A1000208012|A1000208012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22522|20331|23105|21646|23972|23386,22493.666666666668
A1000202027,A1000202027|A1000202027|A1000202027|A1000202027|A1000202027|A1000202027,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,19864|17238|19814|18462|20014|18806,19033.0
A1000208016,A1000208016|A1000208016|A1000208016|A1000208016|A1000208016|A1000208016,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22488|19450|21254|21574|21582|23208,21592.666666666668
A1000208005,A1000208005|A1000208005|A1000208005|A1000208005|A1000208005|A1000208005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,23475|20471|22352|20627|22824|21615,21894.0
A1000208012,A1000208012|A1000208012|A1000208012|A1000208012|A1000208012|A1000208012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22522|20331|23105|21646|23972|23386,22493.666666666668
A1000208012,A1000208012|A1000208012|A1000208012|A1000208012|A1000208012|A1000208012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22522|20331|23105|21646|23972|23386,22493.666666666668
A1000208006,A1000208006|A1000208006|A1000208006|A1000208006|A1000208006|A1000208006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,21557|19128|20768|19230|20999|19875,20259.5
A1000208008,A1000208008|A1000208008|A1000208008|A1000208008|A1000208008|A1000208008,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20585|18142|19974|18545|20576|19360,19530.333333333332
A1000208016,A1000208016|A1000208016|A1000208016|A1000208016|A1000208016|A1000208016,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,22488|19450|21254|21574|21582|23208,21592.666666666668
A1000208014,A1000208014|A1000208014|A1000208014|A1000208014|A1000208014|A1000208014,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,34193|30171|33788|31796|34491|34029,33078.0
A1000208010,A1000208010|A1000208010|A1000208010|A1000208010|A1000208010|A1000208010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,2|1|2|3|3|2,2.1666666666666665
A1000208017,A1000208017|A1000208017|A1000208017|A1000208017|A1000208017|A1000208017,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,15168|13340|15283|14370|15889|15243,14882.166666666666
A1000208014,A1000208014|A1000208014|A1000208014|A1000208014|A1000208014|A1000208014,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,34193|30171|33788|31796|34491|34029,33078.0
A1000208015,A1000208015|A1000208015|A1000208015|A1000208015|A1000208015|A1000208015,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,18578|16103|18160|16834|18544|17585,17634.0
A1000203004,A1000203004|A1000203004|A1000203004|A1000203004|A1000203004|A1000203004,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,43006|38276|46839|45055|48102|50255,45255.5
,,,,,0.0
A1000203002,A1000203002|A1000203002|A1000203002|A1000203002|A1000203002|A1000203002,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,14363|12623|13772|13540|13537|13983,13636.333333333334
A1000208018,A1000208018|A1000208018|A1000208018|A1000208018|A1000208018|A1000208018,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,132|124|131|114|132|129,127.0
A1000203003,A1000203003|A1000203003|A1000203003|A1000203003|A1000203003|A1000203003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,68067|61749|74571|73199|76306|78095,71997.83333333333
A1000208019,A1000208019|A1000208019|A1000208019|A1000208019|A1000208019|A1000208019,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17004|14763|16732|15900|17043|16347,16298.166666666666
A1000203006,A1000203006|A1000203006|A1000203006|A1000203006|A1000203006|A1000203006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17183|15116|17069|15550|16636|16326,16313.333333333334
A1000203006,A1000203006|A1000203006|A1000203006|A1000203006|A1000203006|A1000203006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17183|15116|17069|15550|16636|16326,16313.333333333334
A1000203008,A1000203008|A1000203008|A1000203008|A1000203008|A1000203008|A1000203008,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,47|44|50|48|51|55,49.166666666666664
A1000203007,A1000203007|A1000203007|A1000203007|A1000203007|A1000203007|A1000203007,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,20586|17847|20709|19448|20813|19892,19882.5
A1000203022,A1000203022|A1000203022|A1000203022|A1000203022|A1000203022|A1000203022,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,18909|18997|21457|18138|18859|18320,19113.333333333332
A1000203010,A1000203010|A1000203010|A1000203010|A1000203010|A1000203010|A1000203010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,21138|19115|21790|22554|23926|22550,21845.5
A1000203009,A1000203009|A1000203009|A1000203009|A1000203009|A1000203009|A1000203009,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,15785|13850|16089|15389|16593|16011,15619.5
A1000203013,A1000203013|A1000203013|A1000203013|A1000203013|A1000203013|A1000203013,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,21894|18415|21504|19736|20491|19510,20258.333333333332
A1000203014,A1000203014|A1000203014|A1000203014|A1000203014|A1000203014|A1000203014,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,26483|24104|27026|26524|28602|28602,26890.166666666668
